128 16 8 8 1.5927
256 32 8 8 1.80784
384 16 8 24 2.67878
512 64 8 8 3.00176
640 16 8 40 3.93491
768 32 8 24 3.94723
896 32 4 28 5.73971
1024 128 4 8 7.34858
1152 32 4 36 7.45827
1280 32 8 40 7.98966
1536 128 4 12 10.4696
1664 64 2 26 14.983
1792 32 8 56 15.9351
1920 32 4 60 19.349
2016 36 8 56 20.5132
2048 64 8 32 20.9653
2176 32 4 68 21.8387
2304 32 8 72 22.5093
2464 88 4 28 24.681
2688 96 4 28 25.2418
2912 104 4 28 31.3952
3136 112 4 28 34.7068
3328 128 2 26 40.5219
3360 120 4 28 40.9807
3584 256 2 14 41.7053
3840 32 8 120 53.0185
4032 36 8 112 61.0665
4096 64 8 64 64.7642
4352 64 4 68 65.8429
4480 40 8 112 78.4582
4704 168 2 28 79.8837
4928 176 2 28 83.7677
5376 192 2 28 92.4309
5600 100 4 56 110.213
5824 208 2 28 115.556
6272 224 2 28 122.679
6496 232 2 28 142.315
6720 240 2 28 148.755
7168 256 2 28 160.29
