128 16 8 8 2.00922
256 32 8 8 2.07091
512 32 16 16 2.50541
768 32 8 24 3.09795
1024 128 8 8 3.5465
1280 64 4 20 5.37312
1536 64 8 24 5.76653
1792 224 4 8 6.71824
2048 256 4 8 7.86218
2560 64 8 40 12.0261
2688 84 8 32 14.5036
3072 128 8 24 16.1545
3584 448 2 8 20.0007
4096 256 4 16 24.9366
4608 64 8 72 32.4001
5120 128 8 40 39.4947
5376 672 1 8 44.6243
5632 64 8 88 46.7691
6144 256 4 24 52.1073
6272 784 1 8 57.509
6656 64 8 104 63.7184
7168 896 1 8 64.6876
8064 1008 1 8 80.3001
8192 256 4 32 90.0325
